Year,Treatment,Rep,Location,Dry Mass (g),Square Frame Area (m^2),Residue_DryMass_kg_m2,Residue_PercentCover
2011,CT,1,N,0.58,0.5,0.00116,NA
2011,CT,1,N,1.68,0.5,0.00336,NA
2011,CT,1,M,50.7,0.5,0.1014,NA
2011,CT,1,M,0.75,0.5,0.0015,NA
2011,CT,1,S,42.4,0.5,0.0848,NA
2011,CT,1,S,1.15,0.5,0.0023,NA
2011,MT,1,N,57.64,0.5,0.11528,NA
2011,MT,1,N,36.41,0.5,0.07282,NA
2011,MT,1,N,716.23,0.5,1.43246,NA
2011,MT,1,M,50.78,0.5,0.10156,NA
2011,MT,1,M,1.08,0.5,0.00216,NA
2011,MT,1,M,272.4,0.5,0.5448,NA
2011,MT,1,S,127.68,0.5,0.25536,NA
2011,MT,1,S,275.24,0.5,0.55048,NA
2011,MT,1,S,705.33,0.5,1.41066,NA
2011,ST,1,N,41.69,0.5,0.08338,NA
2011,ST,1,N,64.55,0.5,0.1291,NA
2011,ST,1,M,13.07,0.5,0.02614,NA
2011,ST,1,M,103.57,0.5,0.20714,NA
2011,ST,1,S,29.22,0.5,0.05844,NA
2011,ST,1,S,69.4,0.5,0.1388,NA
2011,CT,2,N,5.91,0.5,0.01182,NA
2011,CT,2,N,8.38,0.5,0.01676,NA
2011,CT,2,M,67.13,0.5,0.13426,NA
2011,CT,2,M,34.22,0.5,0.06844,NA
2011,CT,2,S,2.95,0.5,0.0059,NA
2011,CT,2,S,7.06,0.5,0.01412,NA
2011,MT,1,N,105.07,0.5,0.21014,NA
2011,MT,2,N,87.02,0.5,0.17404,NA
2011,MT,2,N,444.84,0.5,0.88968,NA
2011,MT,2,M,114.38,0.5,0.22876,NA
2011,MT,2,M,7.78,0.5,0.01556,NA
2011,MT,2,M,544.89,0.5,1.08978,NA
2011,MT,2,S,642.65,0.5,1.2853,NA
2011,MT,2,S,30.84,0.5,0.06168,NA
2011,MT,2,S,396.98,0.5,0.79396,NA
2011,ST,2,N,14.14,0.5,0.02828,NA
2011,ST,2,N,92.21,0.5,0.18442,NA
2011,ST,2,M,90.29,0.5,0.18058,NA
2011,ST,2,M,232.02,0.5,0.46404,NA
2011,ST,2,S,32.45,0.5,0.0649,NA
2011,ST,2,S,70.62,0.5,0.14124,NA
2012,CT,1,N,15.5,0.1032256,0.15015655,NA
2012,CT,1,N,1.5,0.1032256,0.014531279,NA
2012,CT,1,M,2.5,0.1032256,0.024218798,NA
2012,CT,1,M,0.5,0.1032256,0.00484376,NA
2012,CT,1,S,0.5,0.1032256,0.00484376,NA
2012,CT,1,S,1.5,0.1032256,0.014531279,NA
2012,ST,1,N,14,0.1032256,0.135625271,NA
2012,ST,1,N,13,0.1032256,0.125937752,NA
2012,ST,1,N,49,0.1032256,0.474688449,NA
2012,ST,1,M,28,0.1032256,0.271250543,NA
2012,ST,1,M,95,0.1032256,0.920314341,NA
2012,ST,1,M,206.5,0.1032256,2.000472751,NA
2012,ST,1,S,78.5,0.1032256,0.760470271,NA
2012,ST,1,S,54,0.1032256,0.523126046,NA
2012,ST,1,S,208,0.1032256,2.01500403,NA
2012,MT,1,N,29.5,0.1032256,0.285781822,NA
2012,MT,1,N,136,0.1032256,1.317502635,NA
2012,MT,1,N,433,0.1032256,4.194695889,NA
2012,MT,1,M,135.5,0.1032256,1.312658875,NA
2012,MT,1,M,33.5,0.1032256,0.324531899,NA
2012,MT,1,M,544.5,0.1032256,5.2748543,NA
2012,MT,1,S,80.5,0.1032256,0.77984531,NA
2012,MT,1,S,14,0.1032256,0.135625271,NA
2012,MT,1,S,367,0.1032256,3.555319611,NA
2012,CT,2,N,30,0.1032256,0.290625581,NA
2012,CT,2,N,13.5,0.1032256,0.130781512,NA
2012,CT,2,M,3.5,0.1032256,0.033906318,NA
2012,CT,2,M,15,0.1032256,0.145312791,NA
2012,CT,2,S,3,0.1032256,0.029062558,NA
2012,CT,2,S,31,0.1032256,0.300313101,NA
2012,ST,2,N,46,0.1032256,0.445625891,NA
2012,ST,2,N,62.5,0.1032256,0.605469961,NA
2012,ST,2,N,131.5,0.1032256,1.273908798,NA
2012,ST,2,M,52,0.1032256,0.503751008,NA
2012,ST,2,M,67,0.1032256,0.649063798,NA
2012,ST,2,M,314,0.1032256,3.041881084,NA
2012,ST,2,S,4,0.1032256,0.038750078,NA
2012,ST,2,S,20,0.1032256,0.193750388,NA
2012,ST,2,S,194,0.1032256,1.879378759,NA
2012,MT,2,N,14.5,0.1032256,0.140469031,NA
2012,MT,2,N,253,0.1032256,2.450942402,NA
2012,MT,2,N,320.5,0.1032256,3.10484996,NA
2012,MT,2,M,18.5,0.1032256,0.179219108,NA
2012,MT,2,M,129,0.1032256,1.249689999,NA
2012,MT,2,M,396,0.1032256,3.836257673,NA
2012,MT,2,S,64,0.1032256,0.62000124,NA
2012,MT,2,S,14,0.1032256,0.135625271,NA
2012,MT,2,S,430.5,0.1032256,4.170477091,NA
2013,CT,1,N,NA,NA,NA,NA
2013,CT,1,M,NA,NA,NA,NA
2013,CT,1,S,NA,NA,NA,NA
2013,MT,1,N,NA,NA,NA,NA
2013,MT,1,M,NA,NA,NA,NA
2013,MT,1,S,NA,NA,NA,NA
2013,ST,1,N,NA,NA,NA,NA
2013,ST,1,M,NA,NA,NA,NA
2013,ST,1,S,NA,NA,NA,NA
2013,MT,2,N,NA,NA,NA,NA
2013,MT,2,M,NA,NA,NA,NA
2013,MT,2,S,NA,NA,NA,NA
2013,ST,2,N,NA,NA,NA,NA
2013,ST,2,M,NA,NA,NA,NA
2013,ST,2,S,NA,NA,NA,NA
2013,CT,2,N,NA,NA,NA,NA
2013,CT,2,M,NA,NA,NA,NA
2013,CT,2,S,NA,NA,NA,NA
2014,CT,1,N,NA,NA,NA,NA
2014,CT,1,M,NA,NA,NA,NA
2014,CT,1,S,NA,NA,NA,NA
2014,MT,1,N,NA,NA,NA,NA
2014,MT,1,M,NA,NA,NA,NA
2014,MT,1,S,NA,NA,NA,NA
2014,ST,1,N,NA,NA,NA,NA
2014,ST,1,M,NA,NA,NA,NA
2014,ST,1,S,NA,NA,NA,NA
2014,CT,2,N,NA,NA,NA,NA
2014,CT,2,M,NA,NA,NA,NA
2014,CT,2,S,NA,NA,NA,NA
2014,MT,2,N,NA,NA,NA,NA
2014,MT,2,M,NA,NA,NA,NA
2014,MT,2,S,NA,NA,NA,NA
2014,ST,2,N,NA,NA,NA,NA
2014,ST,2,M,NA,NA,NA,NA
2014,ST,2,S,NA,NA,NA,NA
2015,CT,1,N,15.8,0.57,0.027719298,2
2015,CT,1,M,NA,0.57,NA,NA
2015,CT,1,S,44.5,0.57,0.078070175,6
2015,MT,1,N,96.8,0.57,0.169824561,42
2015,MT,1,M,NA,0.57,NA,NA
2015,MT,1,S,183.7,0.57,0.322280702,44
2015,ST,1,N,222.9,0.57,0.391052632,48
2015,ST,1,M,NA,0.57,NA,NA
2015,ST,1,S,210.5,0.57,0.369298246,46
2015,MT,2,N,138.7,0.57,0.243333333,30
2015,MT,2,M,NA,0.57,NA,NA
2015,MT,2,S,82.8,0.57,0.145263158,42
2015,ST,2,N,238,0.57,0.41754386,52
2015,ST,2,M,NA,0.57,NA,NA
2015,ST,2,S,285.8,0.57,0.501403509,50
2015,CT,2,N,29.6,0.57,0.051929825,2
2015,CT,2,M,NA,0.57,NA,NA
2015,CT,2,S,10.9,0.57,0.019122807,4
2016,CT,1,N,2.1,0.57,0.003684211,22
2016,CT ,1,M,5.5,0.57,0.009649123,NA
2016,CT,1,S,2.1,0.57,0.003684211,30
2016,MT,1,N,111.6,0.57,0.195789474,54
2016,MT,1,M,47,0.57,0.08245614,NA
2016,MT,1,S,27.3,0.57,0.047894737,60
2016,ST,1,N,201.1,0.57,0.352807018,56
2016,ST,1,M,70.4,0.57,0.123508772,NA
2016,ST,1,S,68.8,0.57,0.120701754,60
2016,MT,2,N,74.6,0.57,0.130877193,52
2016,MT,2,M,33,0.57,0.057894737,NA
2016,MT,2,S,42.6,0.57,0.074736842,48
2016,ST,2,N,132.6,0.57,0.232631579,48
2016,ST,2,M,82.5,0.57,0.144736842,NA
2016,ST,2,S,16.5,0.57,0.028947368,56
2016,CT,2,N,10.7,0.57,0.01877193,22
2016,CT,2,M,15.6,0.57,0.027368421,NA
2016,CT,2,S,0.8,0.57,0.001403509,28
2017,CT,1,N,NA,0.57,NA,5
2017,CT ,1,M,NA,0.57,NA,NA
2017,CT,1,S,NA,0.57,NA,1
2017,MT,1,N,NA,0.57,NA,49
2017,MT,1,M,NA,0.57,NA,NA
2017,MT,1,S,NA,0.57,NA,64
2017,ST,1,N,NA,0.57,NA,63
2017,ST,1,M,NA,0.57,NA,NA
2017,ST,1,S,NA,0.57,NA,68
2017,MT,2,N,NA,0.57,NA,58
2017,MT,2,M,NA,0.57,NA,NA
2017,MT,2,S,NA,0.57,NA,59
2017,ST,2,N,NA,0.57,NA,72
2017,ST,2,M,NA,0.57,NA,NA
2017,ST,2,S,NA,0.57,NA,58
2017,CT,2,N,NA,0.57,NA,2
2017,CT ,2,M,NA,0.57,NA,NA
2017,CT,2,S,NA,0.57,NA,0
2018,CT,1,N,NA,NA,NA,0
2018,CT ,1,M,NA,NA,NA,NA
2018,CT,1,S,NA,NA,NA,0
2018,MT,1,N,NA,NA,NA,16
2018,MT,1,M,NA,NA,NA,NA
2018,MT,1,S,NA,NA,NA,20
2018,ST,1,N,NA,NA,NA,18
2018,ST,1,M,NA,NA,NA,NA
2018,ST,1,S,NA,NA,NA,14
2018,MT,2,N,NA,NA,NA,28
2018,MT,2,M,NA,NA,NA,NA
2018,MT,2,S,NA,NA,NA,14
2018,ST,2,N,NA,NA,NA,30
2018,ST,2,M,NA,NA,NA,NA
2018,ST,2,S,NA,NA,NA,22
2018,CT,2,N,NA,NA,NA,4
2018,CT ,2,M,NA,NA,NA,NA
2018,CT,2,S,NA,NA,NA,0
2019,CT,1,N,NA,NA,NA,NA
2019,CT,1,M,NA,NA,NA,NA
2019,CT ,1,S,NA,NA,NA,NA
2019,MT,1,N,NA,NA,NA,NA
2019,MT,1,M,NA,NA,NA,NA
2019,MT,1,S,NA,NA,NA,NA
2019,ST,1,N,NA,NA,NA,NA
2019,ST,1,M,NA,NA,NA,NA
2019,ST,1,S,NA,NA,NA,NA
2019,MT,2,N,NA,NA,NA,NA
2019,MT,2,M,NA,NA,NA,NA
2019,MT,2,S,NA,NA,NA,NA
2019,ST,2,N,NA,NA,NA,NA
2019,ST,2,M,NA,NA,NA,NA
2019,ST,2,S,NA,NA,NA,NA
2019,CT,2,N,NA,NA,NA,NA
2019,CT,2,M,NA,NA,NA,NA
2019,CT,2,S,NA,NA,NA,NA
2020,CT,1,N,0,1.5,0,0
2020,CT,1,M,1,1.5,0.000666667,0
2020,CT ,1,S,0,1.5,0,0
2020,MT,1,N,115,1.5,0.076666667,74
2020,MT,1,M,154.5,1.5,0.103,50
2020,MT,1,S,81,1.5,0.054,44
2020,ST,1,N,219,1.5,0.146,62
2020,ST,1,M,60,1.5,0.04,54
2020,ST,1,S,66,1.5,0.044,54
2020,MT,2,N,252,1.5,0.168,44
2020,MT,2,M,185.5,1.5,0.123666667,58
2020,MT,2,S,105.5,1.5,0.070333333,62
2020,ST,2,N,97,1.5,0.064666667,52
2020,ST,2,M,51,1.5,0.034,54
2020,ST,2,S,148,1.5,0.098666667,44
2020,CT,2,N,0,1.5,0,0
2020,CT,2,M,0,1.5,0,0
2020,CT,2,S,0,1.5,0,0
2021,CT,1,N,3,1.5,0.002,3
2021,CT,1,M,6.5,1.5,0.004333333,5
2021,CT ,1,S,0,1.5,0,4
2021,MT,1,N,150.5,1.5,0.100333333,77
2021,MT,1,M,90,1.5,0.06,76
2021,MT,1,S,54.5,1.5,0.036333333,80
2021,ST,1,N,117,1.5,0.078,72
2021,ST,1,M,65.5,1.5,0.043666667,65
2021,ST,1,S,120,1.5,0.08,71
2021,MT,2,N,52,1.5,0.034666667,86
2021,MT,2,M,50,1.5,0.033333333,80
2021,MT,2,S,110,1.5,0.073333333,82
2021,ST,2,N,110,1.5,0.073333333,74
2021,ST,2,M,74,1.5,0.049333333,68
2021,ST,2,S,44.5,1.5,0.029666667,66
2021,CT,2,N,0,1.5,0,1
2021,CT,2,M,4,1.5,0.002666667,5
2021,CT,2,S,0,1.5,0,6
2022,CT,1,N,3,1,0.003,2
2022,CT,1,M,8,1,0.008,7
2022,CT ,1,S,13.5,1,0.0135,8
2022,MT,1,N,71.5,1,0.0715,16
2022,MT,1,M,54,1,0.054,30
2022,MT,1,S,109,1,0.109,34
2022,ST,1,N,101,1,0.101,29
2022,ST,1,M,54.5,1,0.0545,25
2022,ST,1,S,70,1,0.07,28
2022,MT,2,N,208.5,1,0.2085,45
2022,MT,2,M,90,1,0.09,37
2022,MT,2,S,100,1,0.1,44
2022,ST,2,N,160,1,0.16,31
2022,ST,2,M,96,1,0.096,29
2022,ST,2,S,25,1,0.025,32
2022,CT,2,N,10,1,0.01,8
2022,CT,2,M,38.5,1,0.0385,10
2022,CT,2,S,4.5,1,0.0045,6
2023,CT,1,N,30,1,0.03,15
2023,CT,1,M,22.5,1,0.0225,5
2023,CT ,1,S,24.5,1,0.0245,11
2023,MT,1,N,74.5,1,0.0745,9
2023,MT,1,M,51,1,0.051,24
2023,MT,1,S,78.5,1,0.0785,20
2023,ST,1,N,63,1,0.063,48
2023,ST,1,M,137.5,1,0.1375,24
2023,ST,1,S,210.5,1,0.2105,37
2023,MT,2,N,182,1,0.182,23
2023,MT,2,M,88.5,1,0.0885,34
2023,MT,2,S,216.5,1,0.2165,21
2023,ST,2,N,100,1,0.1,36
2023,ST,2,M,125,1,0.125,18
2023,ST,2,S,92.5,1,0.0925,32
2023,CT,2,N,2,1,0.002,3
2023,CT,2,M,2.5,1,0.0025,3
2023,CT,2,S,2,1,0.002,1
2024,CT,1,N,NA,1,NA,NA
2024,CT,1,M,NA,1,NA,NA
2024,CT ,1,S,NA,1,NA,NA
2024,MT,1,N,NA,1,NA,NA
2024,MT,1,M,NA,1,NA,NA
2024,MT,1,S,NA,1,NA,NA
2024,ST,1,N,NA,1,NA,NA
2024,ST,1,M,NA,1,NA,NA
2024,ST,1,S,NA,1,NA,NA
2024,MT,2,N,NA,1,NA,NA
2024,MT,2,M,NA,1,NA,NA
2024,MT,2,S,NA,1,NA,NA
2024,ST,2,N,NA,1,NA,NA
2024,ST,2,M,NA,1,NA,NA
2024,ST,2,S,NA,1,NA,NA
2024,CT,2,N,NA,1,NA,NA
2024,CT,2,M,NA,1,NA,NA
2024,CT,2,S,NA,1,NA,NA
2025,CT,1,N,6.81,1,0.00681,4
2025,CT,1,M,10.16,1,0.01016,6
2025,CT ,1,S,17.6,1,0.0176,4
2025,MT,1,N,157.58,1,0.15758,53
2025,MT,1,M,401.03,1,0.40103,49
2025,MT,1,S,466.58,1,0.46658,51
2025,ST,1,N,178.16,1,0.17816,51
2025,ST,1,M,293.61,1,0.29361,37
2025,ST,1,S,137.94,1,0.13794,31
2025,MT,2,N,110.45,1,0.11045,45
2025,MT,2,M,217.67,1,0.21767,65
2025,MT,2,S,823.8,1,0.8238,51
2025,ST,2,N,104.17,1,0.10417,33
2025,ST,2,M,124.81,1,0.12481,51
2025,ST,2,S,63.1,1,0.0631,37
2025,CT,2,N,14.88,1,0.01488,8
2025,CT,2,M,9.85,1,0.00985,0
2025,CT,2,S,12.43,1,0.01243,0
